vehicle_id,normalized_plate,normalized_chassis,make,model,year,county_code,plate_category,source,reserve_price_kes,confidence,listing_type,extraction_method,plate_source_count,chassis_plate_count,is_govt_plate,has_chassis,has_price,fraud_label,fraud_confidence,fraud_reason,fraud_evidence,label_source
42796,KAG473Y,WBA4ENRYDR5D3GDY1,Toyota,Fielder,2020,KA,PRIVATE,equity_bank,325478,0.85,BANK_REPOSSESSION,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:equity_bank,kra_disposals""]",ORGANIC_MULTI_SOURCE
67948,KAB114U,,Kia,Picanto,2018,KA,PRIVATE,equity_bank,1928301,0.85,BANK_REPOSSESSION,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:coop_bank,equity_bank""]",ORGANIC_MULTI_SOURCE
35874,KAP591B,,Mitsubishi,L200,2015,KA,PRIVATE,family_bank,954229,0.85,BANK_REPOSSESSION,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:family_bank,kcb_bank""]",ORGANIC_MULTI_SOURCE
99782,KAQ232B,,Suzuki,Swift,2020,KA,PRIVATE,ncba_bank,781677,0.85,BANK_REPOSSESSION,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,ncba_bank""]",ORGANIC_MULTI_SOURCE
92890,KAB337D,JTN7V47442NS2SR13,Suzuki,Alto,2010,KA,PRIVATE,ncba_bank,1979871,0.85,BANK_REPOSSESSION,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:kra_disposals,ncba_bank""]",ORGANIC_MULTI_SOURCE
45937,KAB337D,,Mercedes-Benz,C-Class,2008,KA,PRIVATE,ncba_bank,603497,0.85,BANK_REPOSSESSION,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:kra_disposals,ncba_bank""]",ORGANIC_MULTI_SOURCE
33898,KAP591B,JM1RKGRC32FDFD7W8,Isuzu,NQR,2013,KA,PRIVATE,kcb_bank,931710,0.85,BANK_REPOSSESSION,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:family_bank,kcb_bank""]",ORGANIC_MULTI_SOURCE
67948,KAB114U,,Isuzu,FSR,2024,KA,PRIVATE,coop_bank,1947284,0.85,BANK_REPOSSESSION,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:coop_bank,equity_bank""]",ORGANIC_MULTI_SOURCE
47770,KAF685V,JHMGKY39BJWKUEAA5,BMW,X3,2025,KA,PRIVATE,coop_bank,999450,0.85,BANK_REPOSSESSION,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:coop_bank,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
69034,EA,,Mercedes-Benz,E-Class,2020,EA,PRIVATE,kra_disposals,311242,0.9,GOVT_PLATE_SWAP_SUSPECT,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,kra_disposals""]",ORGANIC_MULTI_SOURCE
45937,KAB337D,,Mercedes-Benz,Sprinter,2020,KA,PRIVATE,kra_disposals,793917,0.9,GOVT_PLATE_SWAP_SUSPECT,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:kra_disposals,ncba_bank""]",ORGANIC_MULTI_SOURCE
60444,KAI675U,WVWTRV8UBZ8E1FZ8T,Honda,Fit,2025,KA,PRIVATE,kra_disposals,362950,0.9,GOVT_PLATE_SWAP_SUSPECT,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,kra_disposals""]",ORGANIC_MULTI_SOURCE
62233,KAG473Y,,Mazda,Demio,2014,KA,PRIVATE,kra_disposals,648022,0.9,GOVT_PLATE_SWAP_SUSPECT,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:equity_bank,kra_disposals""]",ORGANIC_MULTI_SOURCE
40407,KAG473Y,JTFKZBEJE0GNBB2C5,Honda,Accord,2020,KA,PRIVATE,kra_disposals,512505,0.9,GOVT_PLATE_SWAP_SUSPECT,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:equity_bank,kra_disposals""]",ORGANIC_MULTI_SOURCE
91886,KAG376S,,Isuzu,NPR,2006,KA,PRIVATE,garam_auctioneers,1167131,0.8,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
92753,KAF393D,,Subaru,Outback,2025,KA,PRIVATE,garam_auctioneers,294312,0.8,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
91886,KAG376S,,Toyota,Fielder,2016,KA,PRIVATE,garam_auctioneers,481606,0.8,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
86918,KAF685V,MHYERN99HLCLP4YNX,Mitsubishi,L200,2020,KA,PRIVATE,garam_auctioneers,356783,0.8,AUCTION_LISTING,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:coop_bank,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
