vehicle_id,normalized_plate,normalized_chassis,make,model,year,county_code,plate_category,source,reserve_price_kes,confidence,listing_type,extraction_method,plate_source_count,chassis_plate_count,is_govt_plate,has_chassis,has_price,fraud_label,fraud_confidence,fraud_reason,fraud_evidence,label_source,clean_label,label_noise
53112,KDH359R,,Mercedes,Benz,0,KDH,PRIVATE,family_bank,4000000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,1,0.0,,[],ORGANIC_MULTI_SOURCE,0,1
95938,KCX387A,,,,0,KCX,PRIVATE,family_bank,5500000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
70917,KDR359T,,,,0,KDR,PRIVATE,family_bank,850000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
96772,SKP2T,,,,0,SKP,PRIVATE,family_bank,4300000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
60612,KDJ158V,,,,0,KDJ,PRIVATE,family_bank,500000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
4250,KDN269V,,,,0,KDN,PRIVATE,family_bank,0,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,0,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
77856,KCL312N,,,,0,KCL,PRIVATE,family_bank,0,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,0,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
53112,KDH359R,,Mercedes,Benz,0,KDH,PRIVATE,family_bank,4000000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
95938,KCX387A,,,,0,KCX,PRIVATE,family_bank,5500000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
70917,KDR359T,,,,0,KDR,PRIVATE,family_bank,850000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
96772,SKP2T,,,,0,SKP,PRIVATE,family_bank,4300000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
60612,KDJ158V,,,,0,KDJ,PRIVATE,family_bank,500000,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,1,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
4250,KDN269V,,,,0,KDN,PRIVATE,family_bank,0,0.85,BANK_REPOSSESSION,unknown,1,1,0,0,0,0,0.0,,[],ORGANIC_MULTI_SOURCE,0,0
